state,price,period
MN,14.05,2024-12
US,16.26,2024-12
AL,14.91,2024-12
AK,22.38,2024-12
AZ,15.2,2024-12
AR,11.74,2024-12
CA,30.55,2024-12
CO,15.16,2024-12
CT,28.16,2024-12
DE,16.68,2024-12
DC,18.83,2024-12
FL,14.2,2024-12
GA,13.49,2024-12
HI,42.34,2024-12
ID,10.97,2024-12
IL,15.99,2024-12
IN,14.42,2024-12
IA,12.43,2024-12
KS,13.85,2024-12
WA,11.83,2024-12
WV,14.51,2024-12
WY,11.78,2024-12
WI,16.31,2024-12
MI,18.41,2024-12
MA,31.22,2024-12
MD,18.15,2024-12
ME,26.29,2024-12
LA,11.7,2024-12
KY,13.28,2024-12
VA,14.46,2024-12
VT,22.29,2024-12
UT,11.02,2024-12
TX,15.32,2024-12
TN,13.04,2024-12
SD,12.42,2024-12
SC,13.87,2024-12
RI,25.31,2024-12
PA,17.6,2024-12
OR,14.12,2024-12
OK,11.52,2024-12
OH,15.98,2024-12
ND,10.21,2024-12
NC,13.49,2024-12
NY,24.37,2024-12
NM,14.26,2024-12
NJ,19.49,2024-12
NH,23.62,2024-12
NV,14.88,2024-12
NE,10.78,2024-12
MT,11.87,2024-12
MO,11.57,2024-12
MS,13.44,2024-12
