state,price,period
UT,10.91,2024-11
MO,12.58,2024-10
DE,18.1,2024-11
DC,18.93,2024-11
FL,14.27,2024-11
GA,14.31,2024-11
HI,39.62,2024-11
ID,11.34,2024-11
KS,14.52,2024-10
KY,13.31,2024-10
US,17.01,2024-11
CO,15.47,2024-10
AK,25.52,2024-10
AZ,15.02,2024-10
AR,11.88,2024-10
LA,11.84,2024-10
ME,26.22,2024-10
MD,19.21,2024-10
MA,29.23,2024-10
MI,19.26,2024-10
MN,15.8,2024-10
MS,13.78,2024-10
IL,16.58,2024-10
IN,15.81,2024-10
IA,13.28,2024-10
WV,15.87,2024-11
WI,16.9,2024-11
WY,12.78,2024-11
NV,14.61,2024-10
NH,24.7,2024-10
CA,30.22,2024-10
CT,29.96,2024-10
AL,15.54,2024-10
NE,12.13,2024-10
NJ,19.64,2024-11
NM,14.47,2024-11
NY,24.69,2024-11
NC,15.11,2024-11
ND,11.31,2024-11
OH,16.56,2024-11
OK,13.11,2024-11
TN,13.77,2024-11
TX,15.6,2024-11
VT,25.35,2024-11
VA,14.94,2024-11
WA,12.39,2024-11
MT,13.35,2024-10
SC,15.94,2024-11
SD,13.46,2024-11
OR,14.84,2024-11
PA,18.07,2024-11
RI,28.71,2024-11
